,Carnitine,Creatine,Glutamate,Pantothenate,Dodecanedioic acid,Azelate,Sebacate,4-nitrophenol,Carnosol,2-hydroxymyristic acid,Oleanolic acid,1-methylguanine, N-acetyl-L-arginine,"L-1,2,3,4-tetrahydro-beta-carboline-3-carboxylic acid*"
CSM5MCVN,3247132,40435118,106328,8901913,2430407,193360,100609,43983,5891,7021,14177504,19467,461978,5
CSM5MCWE,6372967,18644006,9713729,5502444,2762323,839952,1048884,88485,4835309,7259,6467186,651067,2172811,38629
CSM5MCX3,4861561,1847424,380124,4817368,136521,489059,356772,266182,NA,14863,7786135,1250027,2276802,293
CSM5MCXL,5280184,77535,278046,3249549,11478313,721369,491020,64268,47274,191741,5987061,57604,425118,8117
CSM5MCY8,10063511,41237,490630,1384995,5063689,378881,285323,47518,154260,386146,970655,69283,369558,11174
CSM5MCZ3,35417641,19137,139593,1441080,4820931,547740,316019,4271,807322,8414,2659682,56112,1372603,19045
CSM5MCZF,2870820,48803,336292,1996891,360218,987178,240585,9848,347930,57661,10440124,79482,287950,7502
CSM67UA2,3127961,108985,367988,3228673,5969017,442302,156972,118638,15713,90178,28809404,58978,1514345,5347
CSM67UAQ,4911080,200539,220962,945983,4840069,677783,419734,13026,53457,21146,212455,89938,4305256,13882
CSM67UBZ,2355899,187251,183142,1718713,3104228,787376,302358,52962,379282,54618,2368503,90257,1054180,31760
CSM67UCK,3052239,214295,618069,4269863,28440254,2158234,1466745,14904,1288712,237702,35661095,159764,404239,41142
CSM67UEW,9710685,47135,1582353,4623865,11024733,131342,113071,1000286,NA,46758,14366829,1177401,1057411,782
CSM67UH7,3480272,88870,2643689,8978544,10144751,734207,1354284,2143,4266,38419,38564626,311171,2242800,2819
CSM79HH8,1488808,105850,195280,3584909,200724,527140,387974,153042,661602,170914,25129773,133098,130055,522
CSM79HHO,11884379,222254,180405,5381103,334573310,2978076,1987146,2909,122797,24881,37423458,71470,1020500,320
CSM79HJM,2871657,144226,875503,10252583,8510220,477750,289968,51321,28696,321078,13556476,37161,1991799,22672
CSM79HKZ,8685487,395484,93786,7425533,3265997,234245,122792,103242,60710,51621,12523592,83522,1061787,1031
CSM79HRG,2146289,72956,128172,2196223,3621665,509976,231447,8738,733692,137846,26014214,27433,205414,37606
CSM7KOLY,4323885,82706,660132,4997033,8525183,644222,486247,13400,417518,93032,12529030,200670,1618174,9028
CSM7KOP8,2627309,1201145,500841,1015124,21849191,10473,1374669,20632,217549,131249,8914446,143509,2560614,333
CSM7KORU,7541119,142989,543339,1691725,5642505,383395,349761,30709,9260938,106500,17237562,143255,743552,41985
CSM7KOTU,7142473,1130685,376950,1510615,2094410,356932,207731,520066,367370,86555,640215,60967,416744,65073
CSM7KOUL,3741299,220023,312140,1120481,18067736,2072261,751228,105905,535191,5431,10224768,353666,2329697,37824
MSM5LLDI,6136389,2185206,2317529,937485,13265858,169874,229807,575301,37194,19293,2181645,469717,489959,1641
MSM5LLF4,13129118,46441642,946552,3264929,2214722,294177,168474,73280,1003088,92646,10870642,2775412,7882171,8446
MSM6J2HF,2804998,6666469,230872,1499604,3854997,242350,246445,3065,3252653,16886,2175776,310818,3448103,2298
MSM6J2HT,8068554,302643,477090,5310412,16130394,464949,594291,21638,2495544,115291,50786064,232399,1865079,1381
MSM6J2IG,1861400,82914,259809,1584347,4813992,397546,199759,1463,437896,99940,6904328,91860,625851,15745
MSM6J2IQ,4718959,64497,339886,1603027,2067138,535857,460734,39660,739393,8327,15854073,59475,473200,NA
MSM6J2J5,4463875,704809,1136225,4995770,13098862,635986,889366,99,1435317,230695,18565014,104816,421647,18109
MSM6J2JR,5060725,44734,85956,550034,3710235,273329,104362,2495,564840,138505,5793582,45744,608740,3146
MSM6J2K6,2449007,85236,272852,8794531,29139186,2848774,1280796,32590,176128,48779,7961170,80173,817965,3492
MSM6J2KE,2725565,1152799,392937,6582497,4988715,830187,652673,320053,548862,131698,291963,683961,568574,21096
MSM6J2LT,3138430,623543,347933,2849288,3205152,298804,192354,4991,2698763,394060,7490737,71835,451052,10127
MSM6J2Q1,7619444,618179,575806,6443626,25270936,920359,794708,6200,401014,96357,12923576,232657,1086535,4350
MSM6J2PO,2089388,46993,1108444,13950390,16290519,1421470,1130768,74869,21840,31362,462498,202678,553670,150840
MSM79H5G,5743922,44513,1143716,8685059,22445998,7838899,2433867,175,352016,98151,1568076,130479,1355653,27665
MSM79H7M,2287366,418327,156537,2314809,3030081,393490,245087,146780,261364,4668,16303422,101356,541178,NA
MSM79HCR,2994698,458463,414154,10641173,10256838,452215,303184,32823,142032,35844,56847291,91828,2350315,1321
MSM79H8D,18256908,231511,1530925,10195864,8357846,843717,606415,3882,2499879,9615,12181035,162745,370913,10928
MSM79H9G,452979,5214,110811,853392,11662274,1149513,355721,475,69702,43564,10357246,73442,222734,23833
MSM79HAJ,8407424,129116,1721112,3411173,26165563,5251106,1861438,698,88810,266411,2952670,126216,586256,2854
MSM79HDA,56264706,15326614,1163758,1753930,4273625,277828,67479,14355,6984,8115,946811,1202311,1943382,84469
MSM79HDQ,2084102,584751,570165,1138334,2710438,331558,3038323,30660,35996,7090,2426727,70098,145228,104835
MSM9VZFR,1078134,30192,285087,4112084,3009156,288640,146732,5919,1421588,39204,24604444,93387,412662,72253
MSM9VZME,11079115,250654,308581,1261341,4850673,415317,348913,36800,7732729,25465,10549465,56605,337082,30968
MSM9VZNX,9496541,22087201,769958,1369219,2197618,208809,99267,363804,763350,67901,421001,80674,1376611,953844
MSM9VZPL,2694611,169552,1014202,1665681,1305834,240164,150292,856,30598,80121,11059976,183240,1770720,173012
MSM9VZMM,15418347,137101,418777,12683402,184588,396594,358070,48225,34060,125708,53521900,124563,1391950,1913
MSMA267V,15313658,317254,803687,3257080,7689739,536769,318429,3786,1673668,120358,5269009,71573,586078,109537
MSMA26DG,4838097,4129723,872868,1103915,10578631,339802,352512,106466,171319,11429,80168094,1224885,1170345,68830
